house,temp_idx,temp_c,m,p
95,575,17.5,4,11
95,579,17.9,3,7
95,582,18.200000000000003,4,5
95,585,18.5,4,15
95,588,18.799999999999997,3,12
95,590,19.0,4,2
95,592,19.200000000000003,4,7
95,594,19.4,4,0
95,595,19.5,4,9
95,596,19.6,4,10
95,598,19.799999999999997,4,13
95,599,19.9,3,1
95,600,20.0,3,6
95,601,20.1,3,15
95,602,20.200000000000003,3,8
95,603,20.299999999999997,3,10
95,604,20.4,3,13
95,605,20.5,3,4
95,606,20.6,3,3
95,607,20.700000000000003,3,7
95,608,20.799999999999997,3,0
95,609,20.9,3,4
95,610,21.0,3,3
95,611,21.1,3,10
95,612,21.200000000000003,3,13
95,613,21.299999999999997,3,15
95,614,21.4,3,8
95,615,21.5,3,1
95,616,21.6,3,6
95,617,21.700000000000003,3,2
95,618,21.799999999999997,4,5
95,619,21.9,3,11
95,620,22.0,3,12
95,621,22.1,3,5
95,622,22.200000000000003,3,2
95,623,22.299999999999997,3,0
95,624,22.4,3,7
95,625,22.5,3,14
95,626,22.6,3,9
95,627,22.700000000000003,4,13
95,628,22.799999999999997,4,10
95,629,22.9,3,14
95,630,23.0,3,9
95,631,23.1,3,7
95,633,23.299999999999997,3,5
95,634,23.4,3,2
95,635,23.5,3,11
95,636,23.6,4,15
184,638,23.799999999999997,4,15
184,634,23.4,4,7
184,628,22.799999999999997,3,1
184,620,22.0,4,5
184,614,21.4,4,14
184,606,20.6,4,7
184,599,19.9,4,15
184,593,19.299999999999997,4,5
184,588,18.799999999999997,4,10
184,583,18.299999999999997,4,6
184,578,17.799999999999997,4,11
184,574,17.4,4,14
184,572,17.200000000000003,4,4
184,569,16.9,4,0
184,566,16.6,4,14
184,564,16.4,4,12
184,563,16.299999999999997,4,5
184,560,16.0,4,11
184,559,15.899999999999999,4,8
184,557,15.700000000000003,4,6
184,555,15.5,4,3
184,553,15.299999999999997,4,10
184,550,15.0,4,14
184,549,14.899999999999999,4,13
184,547,14.700000000000003,4,3
184,545,14.5,4,4
184,544,14.399999999999999,4,6
184,543,14.299999999999997,4,1
184,542,14.200000000000003,4,8
184,541,14.100000000000001,3,15
184,540,14.0,4,5
184,539,13.899999999999999,4,2
184,538,13.799999999999997,4,6
184,537,13.700000000000003,4,1
184,536,13.600000000000001,4,8
184,535,13.5,4,15
184,534,13.399999999999999,4,13
184,533,13.299999999999997,3,13
184,532,13.200000000000003,3,3
184,530,13.0,4,7
184,529,12.899999999999999,3,0
184,528,12.799999999999997,3,4
184,527,12.700000000000003,3,3
184,526,12.600000000000001,3,10
184,525,12.5,3,13
184,524,12.399999999999999,4,13
187,525,12.5,4,0
187,529,12.899999999999999,4,13
187,533,13.299999999999997,4,6
187,537,13.700000000000003,4,5
187,539,13.899999999999999,4,1
187,542,14.200000000000003,4,4
187,544,14.399999999999999,4,10
187,546,14.600000000000001,4,13
187,547,14.700000000000003,4,14
187,549,14.899999999999999,4,10
187,550,15.0,4,13
187,551,15.100000000000001,4,3
187,553,15.299999999999997,4,6
187,555,15.5,4,15
187,556,15.600000000000001,4,8
187,557,15.700000000000003,4,12
187,558,15.799999999999997,4,11
187,559,15.899999999999999,4,5
187,560,16.0,4,2
187,561,16.1,4,11
187,562,16.200000000000003,4,12
187,563,16.299999999999997,4,14
187,564,16.4,4,9
187,565,16.5,4,4
187,569,16.9,4,2
187,577,17.700000000000003,4,13
187,582,18.200000000000003,4,11
187,587,18.700000000000003,4,9
187,596,19.6,3,6
187,601,20.1,3,10
187,604,20.4,3,3
187,607,20.700000000000003,3,4
187,610,21.0,3,13
187,613,21.299999999999997,3,1
187,616,21.6,4,2
187,618,21.799999999999997,3,11
187,620,22.0,3,5
187,622,22.200000000000003,3,7
187,625,22.5,4,9
187,627,22.700000000000003,4,13
187,628,22.799999999999997,3,14
187,630,23.0,3,0
187,632,23.200000000000003,3,5
187,634,23.4,4,12
187,637,23.700000000000003,4,8
187,638,23.799999999999997,4,15
187,639,23.9,3,11
187,642,24.200000000000003,3,12
187,643,24.299999999999997,4,9
187,645,24.5,4,0
187,646,24.599999999999994,4,7
187,647,24.700000000000003,4,4
187,649,24.900000000000006,3,0
187,650,25.0,3,7
187,651,25.099999999999994,4,4
124,652,25.200000000000003,4,14
124,649,24.900000000000006,4,3
124,637,23.700000000000003,4,13
124,633,23.299999999999997,4,0
124,629,22.9,4,4
124,626,22.6,4,8
124,623,22.299999999999997,3,6
124,621,22.1,4,8
124,618,21.799999999999997,4,11
124,616,21.6,4,7
124,613,21.299999999999997,4,10
124,609,20.9,4,13
124,608,20.799999999999997,4,14
124,606,20.6,4,7
124,605,20.5,4,0
124,604,20.4,3,5
124,602,20.200000000000003,3,12
124,601,20.1,3,11
124,600,20.0,4,0
124,598,19.799999999999997,4,4
124,597,19.700000000000003,4,3
124,596,19.6,4,10
124,595,19.5,4,13
124,594,19.4,4,15
124,593,19.299999999999997,4,8
124,592,19.200000000000003,4,1
124,591,19.1,4,6
124,590,19.0,4,2
124,589,18.9,4,5
124,588,18.799999999999997,4,1
124,587,18.700000000000003,4,6
124,586,18.6,4,15
124,585,18.5,4,8
124,583,18.299999999999997,3,3
124,581,18.1,4,5
124,577,17.700000000000003,3,9
124,572,17.200000000000003,4,3
124,569,16.9,4,7
124,566,16.6,3,12
124,562,16.200000000000003,3,2
124,560,16.0,4,11
124,558,15.799999999999997,3,1
124,555,15.5,3,6
