house,temp_c,r12_hex,ec40_hex
3,29.4,0x179,ec40130149202379
3,29.5,0x10C,ec4013015920330c
3,29.5,0x10C,ec4013015920330c
3,29.6,0x193,ec40130169204393
3,29.6,0x193,ec40130169204393
3,29.7,0x1E6,ec401301792053e6
3,29.7,0x1E6,ec401301792053e6
3,29.8,0x1A7,ec401301892063a7
3,29.8,0x1A7,ec401301892063a7
3,29.9,0x1D2,ec401301992073d2
3,29.9,0x1D2,ec401301992073d2
3,30.0,0x110,ec40130100306210
3,30.0,0x110,ec40130100306210
3,30.1,0x165,ec40130110307265
3,30.1,0x165,ec40130110307265
3,30.2,0x1FA,ec401301203082fa
3,30.2,0x1FA,ec401301203082fa
3,30.3,0x18F,ec4013013030928f
3,30.3,0x18F,ec4013013030928f
3,30.4,0x1A5,ec4013014030a2a5
3,30.4,0x1A5,ec4013014030a2a5
3,30.4,0x1A5,ec4013014030a2a5
3,30.4,0x1A5,ec4013014030a2a5
3,30.5,0x1D0,ec4013015030b2d0
3,30.5,0x1D0,ec4013015030b2d0
3,30.6,0x14F,ec4013016030c24f
3,30.6,0x14F,ec4013016030c24f
3,30.7,0x13A,ec4013017030d23a
3,30.7,0x13A,ec4013017030d23a
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.8,0x17B,ec4013018030e27b
3,30.9,0x10E,ec4013019030f20e
3,30.9,0x10E,ec4013019030f20e
3,31.0,0x141,ec40130101307241
3,31.0,0x141,ec40130101307241
3,31.2,0x1AB,ec401301213092ab
3,31.2,0x1AB,ec401301213092ab
3,31.4,0x1F4,ec4013014130b2f4
3,31.4,0x1F4,ec4013014130b2f4
3,31.6,0x11E,ec4013016130d21e
3,31.6,0x11E,ec4013016130d21e
3,31.8,0x12A,ec4013018130f22a
3,31.8,0x12A,ec4013018130f22a
3,31.9,0x15F,ec4013019130035f
3,31.9,0x15F,ec4013019130035f
3,32.1,0x1C7,ec401301123092c7
3,32.1,0x1C7,ec401301123092c7
3,32.2,0x158,ec4013012230a258
3,32.2,0x158,ec4013012230a258
3,32.3,0x12D,ec4013013230b22d
3,32.3,0x12D,ec4013013230b22d
3,32.4,0x107,ec4013014230c207
3,32.4,0x107,ec4013014230c207
3,32.5,0x172,ec4013015230d272
3,32.5,0x172,ec4013015230d272
3,32.6,0x1ED,ec4013016230e2ed
3,32.6,0x1ED,ec4013016230e2ed
