temperatura,device_id,channel,ec40_hex,raw_hex
-8.0,247,1,EC4017F2080874CB,555555559995A5A6AA6A56559AAAA9AAA956A6A559
-7.5,247,1,EC4017F25708B437,555555559995A5A6AA6A56559A6656AAA959A65A56
-7.0,247,1,EC4017F2070864F7,555555559995A5A6AA6A56559AAA56AAA996A65556
-6.5,247,1,EC4017F25608A466,555555559995A5A6AA6A56559A6696AAA999A69696
-6.0,247,1,EC4017F2060854A6,555555559995A5A6AA6A56559AAA96AAA966A69996
-5.5,247,1,EC4017F255089495,555555559995A5A6AA6A56559A6666AAA969A66966
-5.0,247,1,EC4017F205084455,555555559995A5A6AA6A56559AAA66AAA9A6A66666
-4.5,247,1,EC4017F2540884C4,555555559995A5A6AA6A56559A66A6AAA9A9A6A5A6
-4.0,247,1,EC4017F204083404,555555559995A5A6AA6A56559AAAA6AAA95AA6AAA6
-3.5,247,1,EC4017F253087472,555555559995A5A6AA6A56559A665AAAA956A6569A
-3.0,247,1,EC4017F2030824B2,555555559995A5A6AA6A56559AAA5AAAA99AA6599A
-2.5,247,1,EC4017F252086423,555555559995A5A6AA6A56559A669AAAA996A69A5A
-2.0,247,1,EC4017F2020814E3,555555559995A5A6AA6A56559AAA9AAAA96AA6955A
-1.5,247,1,EC4017F2510854D0,555555559995A5A6AA6A56559A666AAAA966A665AA
-1.0,247,1,EC4017F201080410,555555559995A5A6AA6A56559AAA6AAAA9AAA66AAA
-0.5,247,1,EC4017F250084402,555555559995A5A6AA6A56559A66AAAAA9A6A6AA9A
0.0,247,1,EC4017F2000073C2,555555559995A5A6AA6A56559AAAAAAAAA565AA59A
0.5,247,1,EC4017F25000C302,555555559995A5A6AA6A56559A66AAAAAAA55AAA9A
1.0,247,1,EC4017F101007348,555555559995A5A6AA6A56556AAA6AAAAA565AA6A9
1.5,247,1,EC4017F15100C388,555555559995A5A6AA6A56556A666AAAAAA55AA9A9
2.0,247,1,EC4017F1020083BB,555555559995A5A6AA6A56556AAA9AAAAAA95A5959
2.5,247,1,EC4017F15200D37B,555555559995A5A6AA6A56556A669AAAAA655A5659
3.0,247,1,EC4017F1030093EA,555555559995A5A6AA6A56556AAA5AAAAA695A9599
3.5,247,1,EC4017F15300E32A,555555559995A5A6AA6A56556A665AAAAA955A9A99
4.0,247,1,EC4017F10400A35C,555555559995A5A6AA6A56556AAAA6AAAA995A66A5
4.5,247,1,EC4017F15400F39C,555555559995A5A6AA6A56556A66A6AAAA555A69A5
5.0,247,1,EC4017F10500B30D,555555559995A5A6AA6A56556AAA66AAAA595AAA65
5.5,247,1,EC4017F1550004CD,555555559995A5A6AA6A56556A6666AAAAAAA6A565
6.0,247,1,EC4017F10600C3FE,555555559995A5A6AA6A56556AAA96AAAAA55A5595
6.5,247,1,EC4017F15600143E,555555559995A5A6AA6A56556A6696AAAA6AA65A95
